Make a list of verb conjugations


"Inden/Før du begynder at lave mad, skal du dobbelttjekke, at du har alle dine ingredienser","Before you start cooking dinner, double check that you have all of the ingredients",
"Ja, der har været et par store ændringer i år i deres bestyrelse","Yes, there have been a few big changes this year in their board of directors",
"Jamen dog","Well well well",
"Hans kæreste har haft travlt med at finde et nyt job",“His girlfriend has been busy finding a new job"
"Jeg har været der før da min familie var sidste i spainen","I've beeen there before the last time my family was in Spain",
Jeg har været til mange koncerter i USA, I've gone to many concerts in the USA,
Jeg leder efter nogen at praktisere dansk med, I'm looking for someone to practice Danish with,
Jeg plejede at have, I used to have,
Jeg sku ha gået med min mor, I should have gone with my mother,
Jeg tager dig tilbage til Californien I december, I'm going back to California in December though,
Jeg ville, I wanted to,
"Kan jeg huske, hvor det var", Do I remember where that was?,
Kender du engelsk, Do you know English,
Lidenskab, Passion,
Ligner; at lide, Like; to Lidenskab,
Højt, Loud,
månedgange, Monthly,
Middag / Aftensmad, Dinner,
Mulighed, Possibility/Option,
Næpper, Almost,
Noget, Something,
Nogle få, A few,
Nøje, Carefully,
at nulstille, to reset,
at nyde, to enjoy,
Nysgerrig, Curious,
Offentlige, Public,
Opfodtre, Feed,
at opgive, to give up,
at forlade, to abandon,
at tjene, to earn,
Ovenpå, Upstairs,
at Oversætte, Translates,
Øverst til højre, Top right,
Pågældende, Concerned,
Påvirker, Impacts,
Perronafsnit, Platform section,
Pludselig, Suddenly,
Rådgiversende, Advisor,
Rart, Nice,
Rasende, Furious,
Redde, Save,
Sætter, Puts,
Seksten(~SICE~EN), Sixteen,
Sjælent, Rare,
Skønt, Wonderful,
Skyder, Shoots,
Smitte, Infections,
Solrigt, Sunny,
Styr, Control,
Svag, Weak,
Sytten, Seventeen,
Loberne,The Losers,
Til at Smide tørkladet, To drop the scarf,
Tværs, Across,
Tvinges, Forced,
Uendelig kede, Endlessly bored,
Ukendt, Unknown,
Undervisning, Education,
Være helt enige, Be in total agreement,
Værste, Worst,
Vagt bekendtskab, Vague acquantance,
Vanvittige, Crazy/Insane/Mad,
"Ved du, hvor USA er?", Do you know where the USA is?,
Velvinde, Success,
Vinduespuderen, The window cleaner,
Reglet, Rules,
Det åbne rum, The open space,
Begge to, Both two,
Stigende, Rising,
Tilmeld dig, Join,
Tilgængelig, Available,
Sikring, Security,
Hold afstand, Keep distance,
Hold, Keep,
Afstand, Distance,
Nød, Emergency,
Almenlig, General/Common/Public/Universal,
Genkendt, Recognized,
Dækket, Covered,
Fanger, Catch,
Optaget, Recorded,
Gravsten, Gravestone,
Hunden gøer, The dog barks,
Fuldstændigt, Completely,
Skamfuld, Ashamed,
Afsætte, Set aside,
Ordning, Scheme,
tilslutning, Connection,
Sætte, Put,
Krise, Crisis,
Krisen kommer til sætte vores fælledkab på prove, The crisis will put our community to the test,
Runndel, Roundabout,
Saldo, Balance,
Har lysting, Have desire,
Fortrængte, Persistent,
En af min mors venner, One of my mother's friends,
Vi er vant til det, We're used to it,
Ensomme, Alone,
Gør er forskel her, Make a difference here,
indlæse, Load,
Opkald, Call,
Skygge, Shadow,
Sometider, Sometimes,
Til enhver tid, Anytime,
Det giver ingen mening, It does not make sense,
En levende landsby, A living village,
Under bæltet, Under the belt,
Stige, Ladder,
Det hele, All of it,
Medlem, Member,
Tøver, Hesitate,
Lektioner, Lessons,
Smigre, Flatter,
Strissere, Cops,
Lige straks, Right away,
Enhver, Any,
Forspring, Advance,
Næt, Approach/Near/Reach,
Lider, Suffer,
Slæb, Drag,
Der gik bort, That went away,
Bortvises, Dismissed,
Omtanke, Care,
Forsigtig, Cautious,
Du vil modtage, 'You will receive',
Ændrer, Change,
Usædvanligt, Unusual,
Forkæle, Spoil/Pamper/Curse,
en domfældelse, a conviction,
et knus, a hug,
Du ligner den skuespillende, You look like that actress,
Mærke, Bookmark/Brand/Label,
Strygebræt, Ironing board,
Trækker, Pullœ,
Gå til aftalen, Go to the appointment,
De sku du se, You should see them,
Tømmermænd, Hangover,
Fuld, Full,
"Hvor du vil, når du vil", "Where you want, when you want",
"kaffe øl og masser af brætspil","coffee beer and lots of board games",
Gebyr vedr. Jyske Netbank kundenr, Fee for Jyske Netbank customer number,
Tak for omtanken, Thank you for your consideration,
Tygt, Safe/Secure/Confident,
Del det hele, Share it all,
Træde, Step,
Jeg er stadig ikke med, I still don't get it,
Dæmp dig, Quiet down,
Sadan er det bare, That's just the way it is,
Slip ham, Let him go,
Vær ikke forhastet, "Don't rush",
Vi må jo alle bidrage, We must all contribute,
Tålmodighed ville hjælpe, Patience would help,
Jeg har ikke gjort noget, I didn't do anything,
På gåtur, On a walk,
Beryget, The certificate/report,
Nyheder, News,
Gem mig en, Save me one,
Få de bestæd tilbud første, Get the best deals first,
at færdiggøre,to complete,
Alt dette, All of this,
at melde sig frivilligt | en frivillig, to volunteer | a volunteer,
Forlader | at forlade, Leaving | to leave,
Du ser hentivende ud, You look ravishing/adorable,
en vurdering, an assessment,
Gunstige, Favourable,
Skrøbelig, Fragile/Brittle,
en begivenhed, a event,
Godkend orde, Approved order,
Undgaå at løbe tør for medicin, Avoid running out of medicine,
at anbefale | Anbefalet, to recommend | Recommended,
et formål | formålet, a purpose | purpose,
Nuværende, Current,
Igangværende, Ongoing,
hvorfor kan fiskere ikke lide techno? -- Fordi de er på havet,"""Why don't fishermen like techno -- Because they're at sea""",
Læse bundteksten, Read the bottom text,
Indimellem, Occasionally,
De bare stiger op, They just rise up,
Jeg tvivler det, I doubt it,
Jeg satser, I bet,
Det vil gøre dig meget sørgmodig og utilpas, It will make you very sad and uncomfortable,
Giv plads til hinanden, Give space to one another,
"Hader at være typen men det lyder som et spørgsmal om disciplin", "Hate to be the type but it sounds like a matter of discipline",
Opbevares udtilgaengtli far born, Keep out of reach of children,
Det skal ogsä afholdes i 2022 ser det ud til, It will also be held in 2022,
 "Besigtigrldrtnr bil blive afholdt på de følgende datoer", Then inspections will be held on the following dates:,
Forestil dig selv en sjov og fæangende bio efter eget valg, Imagine a fun and captivating bioo of your choice,
Vi har det fjong, We've got it good,
Udlækker, Unloading,
Jeg havde ikke mange valmuligheder, I didn't have many choices,
Det er enkelt, It's simple,
Løb en ærinde, Run an errand,
Benyt, Use,
Opmærksomhed, Attention,
Nu er den myrdede gravide kvindes barn også død, Now murdered pregnant woman's child is also dead 😥,
Utrolig, Incredible,
I modsætning til hvad?, As opposed to what?,
Du trot jeg forgiver at være?, You think I'm pretending?,
Hvad stod der på sedlen?, What did the note say?,
Det er forbi, It's over,
Hun undgår dem, She avoids them,
En darlig dag for Trump: Ingen 'red belge til republikanerne ved midtvejsvalget i USA, A bad day for Trump: no 'red wave' for Republicans in US midterm elections,
Og så fortæller historien at den siddende præsidents parti næsten altid klarer sig dårligt ved midtvejsvalg, And then history tells us that the party of the incumbent president almost always does poorly in the midterm elections,
Han var ivrig, He was anxious,
Vi er nødt til at gøre det vi gør, We have to do what we do,
Flade, Flat,
Bærbar lagring, Portable Storage,
Gebyrnot, Fee note,
Vi skal fordrage, We must endure,
Det ville være dejligt, That would be great,
Garderobe, Wardrobe,
Vi aner dette, We know this,
Det er surt, It sucks,
Jeg ønskede at være, I wanted to be,
Jeg ved godt det er mærkelight, I know it's weird,
Det er jo evigheder siden, It's been ages,
Det var den eneste, It was the only,
Vi skrider, We are leaving,
Mit kælenavn var Obama i gymnasiet, My nickname was Obama in high school,
Hvis jeg har en ven jeg ikke længere kan overskue hvordan slår jeg så op?,"If I have a friend I can no longer see, how do I 'break up'?",
fælles interesser, mutual interests,
at få styrke, to gain strength,
yderligere hjælpe, further help,
tiltalende æstetik, appealing aesthetic,
irriterat på mig, annoyed with me,
at nærme, to approach,
en oprindelse, a origin,
Hun ænsede det ikke.,She didn't care,
et godt gået arbejde, a well done job,
Nu er penge ikke ensbetydende med lykke , Now money does not equal happiness.,
jeg har generalt aldrig været tilfreds med min udseende.,I have generally never been satisfied with my appearance,
det er mere billigere når man kan dele udgifterne, It is cheaper when one can share the expenses,
Hvordan sammenligner man på dansk?, How do you compare in Danish,
som,"as, that, who, these",
tilbringer,spends,
opmærksomme, attentive,
allerfleste, most of them,
han prøver at forsøge,he tries to try,
Er der nogen i vejen?, Is there something wrong?,
Du ser træt ud,you look tired,
han kunne ikke løse det sidste problem, he could not solve the last problem,
nyttig, useful,
beløb betalt, amount paid,
Han glemte alle sine genstandene, He forgot all of his items,
Han ved ikke hvordan han skal vurdere sin test, He didn't know how to assess the test,
"De smukke børn, der tilhører Frank", The beautiful children belong to Frank,
"de fleste opleve eksamensangsten som en opslidende tilstand, der stjæler tid, fokus og energi.","Most people experience exam anxiety as an exhausting condition that steals time, focus, and energy"
